relation,type,run,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_replace_rot,fault,24,0.00469147,0.03091386,0.87682409,0.03311924,0.88364775,0.32819628,1.69362773,40,True
fault_replace_rot,fault,25,0.01397702,0.02804779,0.96030443,0.03378042,0.95746264,0.80907694,1.25344532,40,True
fault_replace_rot,fault,26,0.00518176,0.01277697,0.3786697,0.01772538,0.44405844,0.00962661,0.15576485,40,True
fault_replace_rot,fault,27,0.02605979,0.04868723,0.79952679,0.02020925,0.34816555,0.25533303,1.24320034,40,True
fault_replace_rot,fault,28,0.1283339,0.05296106,0.87301929,0.02625481,0.452266,0.3696203,1.80416129,40,True
fault_replace_rot,fault,29,0.00176862,0.00140046,0.00966122,0.00066399,0.00423959,0.00042802,0.00422966,40,True
fault_replace_rot,fault,30,0.05271403,0.06475352,1.02917109,0.06648494,1.03350402,0.92725691,2.57810558,40,True
fault_shift_param,fault,1,0.02010662,0.01034597,0.10697185,0.00713033,0.06696717,0.74819611,2.04018872,40,True
fault_shift_param,fault,2,0.00077742,0.01030633,0.12355301,0.0012065,0.01778821,0.9078714,1.41495558,40,True
fault_shift_param,fault,3,0.19746734,0.49622452,0.97120207,0.26844386,0.71360223,1.93870998,3.1425265,40,True
fault_shift_param,fault,4,0.30486307,0.33971217,0.76318318,0.33958707,0.75539393,1.58464434,2.7527814,40,True
fault_shift_param,fault,5,0.09597772,0.03531165,0.21346076,0.0192284,0.16767943,0.72835981,1.83641539,40,True
fault_shift_param,fault,6,0.07665119,0.00937617,0.08442661,0.0154506,0.28105143,0.23359219,1.14516538,40,True
fault_shift_param,fault,7,0.03402365,0.0170447,0.12489722,0.00493211,0.04447758,0.6675518,1.32326942,40,True
fault_shift_param,fault,8,0.16937397,0.26561325,0.75923933,0.25968286,0.74331341,1.52099344,2.58607608,40,True
fault_shift_param,fault,9,0.13077865,0.31319998,0.79680626,0.20279303,1.11625407,1.64752289,3.15311375,40,True
