relation,type,run,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_replace_rot,fault,1,48,48,33,33,0.04287689,0.14547269,1.10864143,0.10965765,0.80748202,1.4362227,2.28835698,120,True
fault_replace_rot,fault,2,48,48,33,33,0.04324788,0.03491212,0.53185949,0.04311031,0.59599807,0.32840309,1.82608445,120,True
fault_replace_rot,fault,3,48,48,33,33,0.0803342,0.09270026,1.00612713,0.07503649,1.01183178,0.67368113,1.87680576,120,True
fault_replace_rot,fault,4,48,48,33,33,0.08939315,0.02832178,0.46467732,0.01420061,0.48632473,0.18848089,0.61396592,120,True
fault_replace_rot,fault,5,48,48,33,33,0.19448803,0.13477695,0.598656,0.07361126,0.64803694,1.05961852,2.02782492,120,True
fault_replace_rot,fault,6,48,48,33,33,0.0131106,0.09478459,1.3374043,0.0660977,1.13023937,1.30028253,2.14780566,120,True
fault_replace_rot,fault,7,48,48,33,33,0.03741476,0.07774665,0.86827438,0.04935983,0.86457996,1.21115537,2.30551216,120,True
fault_replace_rot,fault,8,48,48,33,33,0.12771471,0.16888093,1.20704483,0.11046277,1.01069723,2.00890484,2.98794341,120,True
fault_replace_rot,fault,9,48,48,33,33,0.02459471,0.02755794,0.52650223,0.01196142,0.52498028,0.12442467,0.72199893,120,True
fault_replace_rot,fault,10,48,48,33,33,0.00413906,0.01582739,0.25527985,0.0041952,0.03587625,0.0681205,0.29475829,120,True
fault_replace_rot,fault,11,48,48,33,33,0.01562731,0.08534804,1.02931967,0.06841563,1.02168258,2.14121417,3.27654746,120,True
fault_replace_rot,fault,12,48,48,33,33,0.07089032,0.09141171,0.82068715,0.0851505,0.88046162,1.87436955,3.17049007,120,True
fault_replace_rot,fault,13,48,48,33,33,0.06711429,0.12635921,1.39947252,0.10624669,1.26268238,1.39711187,2.59941027,120,True
fault_replace_rot,fault,14,48,48,33,33,0.07361802,0.23480202,1.33382426,0.15869522,1.09400897,2.5634755,3.82005519,120,True
fault_replace_rot,fault,15,48,48,33,33,0.0125763,0.03791999,0.80846934,0.0401475,0.82033116,0.19297093,1.50520037,120,True
fault_replace_rot,fault,16,48,48,33,33,0.06277146,0.08757357,1.16136216,0.09470132,1.16253019,0.61096914,1.88428509,120,True
fault_replace_rot,fault,17,48,48,33,33,0.30402854,0.18803631,1.30882882,0.14355769,1.24860837,1.67199035,2.997051,120,True
fault_replace_rot,fault,18,48,48,33,33,0.03650574,0.0972995,0.80295071,0.05484422,0.66190225,0.5848639,1.78548137,120,True
fault_replace_rot,fault,19,48,48,33,33,0.05159514,0.08492936,0.81886214,0.07843388,0.76048895,0.79158985,1.97437137,120,True
fault_replace_rot,fault,20,48,48,33,33,0.19299519,0.23973013,1.19884193,0.17676232,1.14526969,1.91069328,3.5667583,120,True
fault_replace_rot,fault,21,48,48,33,33,0.00413045,0.208256,1.34493463,0.16256135,1.06608305,0.87106336,2.34668896,120,True
fault_replace_rot,fault,22,48,48,33,33,0.21541935,0.14968273,1.04268763,0.1102631,0.83131622,1.95259543,3.33091554,120,True
fault_replace_rot,fault,23,48,48,33,33,0.05882839,0.13149048,0.93731845,0.0995288,0.92285706,1.58016578,2.70751225,120,True
fault_replace_rot,fault,24,48,48,33,33,0.02273218,0.04013295,0.38712815,0.02214388,0.38953763,0.74532498,1.32057068,120,True
fault_replace_rot,fault,25,48,48,33,33,0.04116198,0.02596915,0.46528995,0.01545357,0.50829543,0.98563382,1.22140549,120,True
fault_replace_rot,fault,26,48,48,33,33,0.04434027,0.08997878,1.02767905,0.05081628,0.79090132,0.28830524,1.60217884,120,True
fault_replace_rot,fault,27,48,48,33,33,0.04634087,0.09603259,0.76325442,0.06097692,0.8095936,0.53582349,1.83030896,120,True
fault_replace_rot,fault,28,48,48,33,33,0.02038889,0.02788285,0.98567889,0.02057018,1.03303878,0.30261421,0.94400948,120,True
fault_replace_rot,fault,29,48,48,33,33,0.03738071,0.19062668,1.10374164,0.15427257,0.90054691,1.86354948,3.40525534,120,True
fault_replace_rot,fault,30,48,48,33,33,0.01504913,0.11254809,0.94204194,0.08319024,0.9250387,1.28881713,2.56267114,120,True
fault_shift_param,fault,1,48,48,33,33,0.65977717,0.4992375,1.369317,0.29825522,0.93132115,1.88563833,3.2958215,120,True
fault_shift_param,fault,2,48,48,33,33,0.29285748,0.18524065,0.82315237,0.17089579,1.01079727,2.56740407,3.54366098,120,True
fault_shift_param,fault,3,48,48,33,33,0.00873427,0.09502459,0.99484817,0.06524566,0.93676854,0.9834386,2.26231636,120,True
fault_shift_param,fault,4,48,48,33,33,0.01337138,0.03713028,0.25541377,0.01694423,0.11798144,0.83884132,1.18706807,120,True
fault_shift_param,fault,5,48,48,33,33,0.03273467,0.22354511,0.84934531,0.10338565,0.91691174,2.14774861,3.37206995,120,True
fault_shift_param,fault,6,48,48,33,33,0.09073192,0.05918172,1.41087682,0.02681225,1.24509343,1.27381857,1.63597517,120,True
fault_shift_param,fault,7,48,48,33,33,0.34152726,0.47723038,1.45425361,0.41125119,1.43269405,2.73968153,4.10978719,120,True
fault_shift_param,fault,8,48,48,33,33,0.24665186,0.39340283,0.90594384,0.03817706,0.53384994,1.81413749,2.82964937,120,True
fault_shift_param,fault,9,48,48,33,33,0.09734793,0.2834084,1.04947989,0.38181973,1.29186711,2.07445207,3.48675379,120,True
fault_shift_param,fault,10,48,48,33,33,0.33093771,0.39426099,1.6602499,0.14669121,1.06671877,2.19810369,3.99750695,120,True
fault_shift_param,fault,11,48,48,33,33,0.3601713,0.4807277,1.46396001,0.45213908,1.46429067,2.23248887,3.16852998,120,True
fault_shift_param,fault,12,48,48,33,33,0.08720295,0.09704556,1.06385156,0.07345984,0.83261465,1.10518729,2.16197741,120,True
fault_shift_param,fault,13,48,48,33,33,0.0339156,0.33510467,1.20248656,0.28287978,1.17068035,1.92319784,3.20374114,120,True
fault_shift_param,fault,14,48,48,33,33,0.17373665,0.22740674,1.42644711,0.15170534,1.10663773,1.55937816,2.58750846,120,True
fault_shift_param,fault,15,48,48,33,33,0.10083972,0.18903991,1.23671579,0.09027821,0.852852,1.61706529,2.80395894,120,True
fault_shift_param,fault,16,48,48,33,33,0.07122875,0.22910172,1.19403698,0.23082974,1.10806689,2.33289675,3.71458933,120,True
fault_shift_param,fault,17,48,48,33,33,0.08144152,0.16211266,1.55133958,0.1496367,1.32277953,1.25092981,2.51640955,120,True
fault_shift_param,fault,18,48,48,33,33,0.00889273,0.05576956,0.56314681,0.04227763,0.8217448,0.50147783,1.92467121,120,True
fault_shift_param,fault,19,48,48,33,33,0.26309144,0.36602536,1.24181593,0.30199558,1.05980558,2.18234811,3.83973179,120,True
fault_shift_param,fault,20,48,48,33,33,0.0083474,0.15549373,1.03596533,0.13215802,0.98899625,1.68410592,3.00787299,120,True
fault_shift_param,fault,21,48,48,33,33,0.04428754,0.29718258,0.92351694,0.26396706,0.83341383,2.73386421,4.53615744,120,True
fault_shift_param,fault,22,48,48,33,33,0.25067875,0.36845434,1.22682658,0.3314743,1.02441441,2.81948594,4.33085852,120,True
fault_shift_param,fault,23,48,48,33,33,0.24771482,0.29357612,1.00110687,0.26934959,1.07876668,1.43100869,2.64134334,120,True
fault_shift_param,fault,24,48,48,33,33,0.06070571,0.06821682,0.29888213,0.01208204,0.0873485,0.24698975,0.60815715,120,True
fault_shift_param,fault,25,48,48,33,33,0.16361634,0.29194529,1.18919665,0.27240435,0.97941345,2.55036271,3.91825913,120,True
fault_shift_param,fault,26,48,48,33,33,0.03324685,0.18927349,1.07059779,0.17660789,1.16254875,1.53917501,2.3767186,120,True
fault_shift_param,fault,27,48,48,33,33,0.10005433,0.12330666,0.75452787,0.0397674,0.81230104,1.08078473,2.08531789,120,True
fault_shift_param,fault,28,48,48,33,33,0.02079051,0.10847935,0.89385965,0.07694715,1.07201809,1.53118789,2.43376869,120,True
fault_shift_param,fault,29,48,48,33,33,0.41680662,0.35941338,1.40134749,0.25903805,0.89718249,2.36512059,3.32306451,120,True
