relation,type,run,num_qubits,reps,maxiter,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_shift_param,fault,11,6,3,160,48,48,29,29,0.01212951,0.04913747,0.70703889,0.04422382,0.84210003,0.95178738,2.29602358,160,True
fault_shift_param,fault,12,6,3,160,48,48,29,29,0.16851628,0.38629184,1.47426404,0.37641128,1.29869502,3.73572555,5.40127075,160,True
fault_shift_param,fault,13,6,3,160,48,48,29,29,0.03451559,0.16375204,1.17279691,0.16248182,1.03656177,2.09841954,3.13431129,160,True
fault_shift_param,fault,14,6,3,160,48,48,29,29,0.46528151,0.21905839,1.29665233,0.17576746,1.06378492,3.7120486,5.73718652,160,True
fault_shift_param,fault,15,6,3,160,48,48,29,29,0.04218375,0.17184058,0.90854638,0.10495332,0.84376592,3.41455921,4.62820156,160,True
fault_shift_param,fault,16,6,3,160,48,48,29,29,0.15699662,0.36736908,1.46492795,0.38120134,1.46247515,2.52661395,3.73148843,160,True
fault_shift_param,fault,17,6,3,160,48,48,29,29,0.16559719,0.15722296,1.01248126,0.11686813,0.81170851,1.52967063,3.30520761,160,True
fault_shift_param,fault,18,6,3,160,48,48,29,29,0.00718606,0.06316486,0.46709503,0.02548542,0.17795873,0.36127202,0.79048303,160,True
fault_shift_param,fault,19,6,3,160,48,48,29,29,0.10731727,0.07972903,0.59064486,0.06311356,0.8619705,1.57390343,2.77029438,160,True
fault_shift_param,fault,20,6,3,160,48,48,29,29,0.10618806,0.17129647,0.98864533,0.21966487,0.8141922,1.505558,2.12666642,160,True
fault_shift_param,fault,21,6,3,160,48,48,29,29,0.290475,0.25311278,0.81422361,0.2781218,1.20684449,2.08952838,3.1260007,160,True
fault_shift_param,fault,22,6,3,160,48,48,29,29,0.06293822,0.06585126,0.9050933,0.06367265,0.81744903,1.46858406,2.67543888,160,True
fault_shift_param,fault,23,6,3,160,48,48,29,29,0.31621765,0.34203381,1.31335929,0.35518195,1.12811112,3.42548894,5.03839009,160,True
fault_shift_param,fault,24,6,3,160,48,48,29,29,0.20933447,0.35710676,1.41073732,0.25518295,1.41789639,2.72017118,4.23511956,160,True
fault_shift_param,fault,25,6,3,160,48,48,29,29,0.60802329,0.45594844,1.84078613,0.10893344,1.14841182,2.90421521,3.773611,160,True
fault_shift_param,fault,26,6,3,160,48,48,29,29,0.03436742,0.07903321,0.8021789,0.03630937,0.84873137,1.47324168,1.95771931,160,True
fault_shift_param,fault,27,6,3,160,48,48,29,29,0.30665723,0.32404662,1.12442137,0.23152454,1.06987098,3.03303718,3.8589372,160,True
fault_shift_param,fault,28,6,3,160,48,48,29,29,0.18129911,0.32232491,1.11411101,0.28512118,1.11052541,2.34837936,4.15337616,160,True
fault_shift_param,fault,29,6,3,160,48,48,29,29,0.54738358,0.55722214,1.5090305,0.47856398,1.50479768,2.10280714,3.51402507,160,True
fault_shift_param,fault,30,6,3,160,48,48,29,29,0.27009905,0.214836,1.18065356,0.14081533,1.08664093,2.94642236,4.27872339,160,True
fault_change_entanglement,fault,1,6,3,160,48,48,29,26,0.01891044,0.28564823,1.1092395,0.17199749,1.14801356,2.11742084,2.79320639,160,True
fault_change_entanglement,fault,2,6,3,160,48,48,29,25,0.41652262,0.29708177,1.1652919,0.11042641,0.9753105,2.46023613,3.40472539,160,True
fault_change_entanglement,fault,3,6,3,160,48,48,29,28,0.14178265,0.1913955,0.85800034,0.15980998,1.24641064,3.00913488,4.02904906,160,True
fault_change_entanglement,fault,4,6,3,160,48,48,29,27,0.77895543,0.38989589,1.65246373,0.12686134,1.37468971,2.68072347,3.55319647,160,True
fault_change_entanglement,fault,5,6,3,160,48,48,29,25,0.43847963,0.21470067,1.06559061,0.12972192,0.97923322,3.40040354,4.33340108,160,True
fault_change_entanglement,fault,6,6,3,160,48,48,29,28,0.04532406,0.20714145,1.43083268,0.11856668,1.31652818,3.06149134,3.81300904,160,True
fault_change_entanglement,fault,7,6,3,160,48,48,29,25,0.60637396,0.25562844,1.0689671,0.0843785,0.84577007,3.21455201,4.69198434,160,True
fault_change_entanglement,fault,8,6,3,160,48,48,29,28,0.83535553,0.47931501,1.92430445,0.17014251,1.1635256,3.15889164,3.81149577,160,True
fault_change_entanglement,fault,9,6,3,160,48,48,29,26,0.41461502,0.28004694,1.41977944,0.19683655,1.28123595,3.4115076,4.67328824,160,True
fault_change_entanglement,fault,10,6,3,160,48,48,29,24,0.51281822,0.36553487,1.11953796,0.1133107,0.96154458,3.31119115,4.09803346,160,True
fault_change_entanglement,fault,11,6,3,160,48,48,29,24,0.69322155,0.48892472,1.01549649,0.13835646,1.0941995,2.7762971,3.71006253,160,True
fault_change_entanglement,fault,12,6,3,160,48,48,29,25,0.09133457,0.15844504,1.54300029,0.11190504,1.49987256,3.2061614,4.45332112,160,True
fault_change_entanglement,fault,13,6,3,160,48,48,29,27,0.45237282,0.29854299,1.3226216,0.24696396,1.04973974,3.71548295,5.09826981,160,True
fault_change_entanglement,fault,14,6,3,160,48,48,29,27,0.10112791,0.23244483,1.32541545,0.18951153,1.13664237,3.51124581,4.30764959,160,True
fault_change_entanglement,fault,15,6,3,160,48,48,29,26,0.04897519,0.22701517,1.14159276,0.20591833,1.27694314,3.40088931,4.40408423,160,True
fault_change_entanglement,fault,16,6,3,160,48,48,29,24,0.27761104,0.25050843,1.09568217,0.17978004,1.07973084,4.00928655,5.53707816,160,True
fault_change_entanglement,fault,17,6,3,160,48,48,29,26,0.21332997,0.25163785,1.02083135,0.23460974,1.19322763,3.75247708,4.99877836,160,True
fault_change_entanglement,fault,18,6,3,160,48,48,29,26,0.5593166,0.47392428,1.45020013,0.1697445,0.93931447,4.08001225,5.7343969,160,True
fault_change_entanglement,fault,19,6,3,160,48,48,29,25,0.09017209,0.22572237,1.18260738,0.16856452,0.97206924,3.68642141,4.89694564,160,True
fault_change_entanglement,fault,20,6,3,160,48,48,29,26,0.57957285,0.40086999,1.40169964,0.1216458,1.04461694,3.05245264,3.91078239,160,True
fault_change_entanglement,fault,21,6,3,160,48,48,29,27,0.71683513,0.2321827,0.94683678,0.10419635,0.90485615,2.90199926,3.85194823,160,True
fault_change_entanglement,fault,22,6,3,160,48,48,29,26,0.20350227,0.21905433,1.48247488,0.20459636,1.63722557,3.29996651,4.49914791,160,True
