phase,relation,type,run,num_qubits,reps,maxiter,shots,optimizer,oracle_variant,noise_model,one_qubit_error_rate,two_qubit_error_rate,readout_error_rate,include_thermal,energy_threshold,symmetry_threshold,param_threshold,random_seed,pair_seed,transform_seed,hamiltonian_symmetry_commute,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,energy_violation,symmetry_violation,violation
noisy_shot_based,fault_replace_rot_strong,fault,1,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300000,2000,True,48,47,33,33,0.63818359,0.59942128,1.15527344,0.60040734,1.07226562,1.99978824,2.88355749,257,True,True,True
noisy_shot_based,fault_replace_rot_strong,fault,2,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300001,2001,True,48,47,33,33,0.12207031,0.33304771,1.21435547,0.28929049,0.99023438,2.09840366,3.14753006,257,True,True,True
noisy_shot_based,fault_replace_rot_strong,fault,3,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300002,2002,True,48,47,33,33,0.49414062,0.5884587,1.46240234,0.33038971,0.97363281,2.32249525,3.23656526,257,True,True,True
noisy_shot_based,fault_replace_rot_strong,fault,4,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300003,2003,True,48,47,33,33,1.31542969,1.29518406,1.93652344,1.00959083,1.79003906,2.07525055,2.93659228,257,True,True,True
noisy_shot_based,fault_replace_rot_strong,fault,5,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300004,2004,True,48,47,33,33,0.41015625,0.49638444,1.26855469,0.32640367,0.99707031,1.69867713,2.46281682,257,True,True,True
noisy_shot_based,fault_replace_rot_strong,fault,6,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300005,2005,True,48,47,33,33,0.55126953,0.55056656,1.26806641,0.35801465,1.14648438,1.88985628,2.79545957,257,True,True,True
noisy_shot_based,fault_replace_rot_strong,fault,7,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300006,2006,True,48,47,33,33,0.01318359,0.13918676,0.90625,0.08826301,0.46484375,2.11126885,3.01149148,257,False,True,True
noisy_shot_based,fault_replace_rot_strong,fault,8,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300007,2007,True,48,47,33,33,0.29980469,0.47254225,1.35888672,0.41484147,1.09277344,1.73794588,2.55461765,257,True,True,True
noisy_shot_based,fault_replace_rot_strong,fault,9,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300008,2008,True,48,47,33,33,0.54150391,0.47163409,0.97753906,0.21529973,1.17871094,2.1228213,2.89516687,257,True,True,True
noisy_shot_based,fault_replace_rot_strong,fault,10,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300009,2009,True,48,47,33,33,0.39501953,0.45678236,1.51806641,0.30356274,1.10644531,1.90235651,2.73581027,257,True,True,True
