test_id,relation,type,tvd,p_value,chi2_stat,tvd_violation,chi_violation,violation,expected_violation
52,identity,valid,0.0096,0.2215,4.3983,False,False,False,False
52,barrier,valid,0.0019,0.9763,0.2082,False,False,False,False
52,commute,valid,0.0095,0.3113,3.5738,False,False,False,False
52,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
52,fault_remove_random,fault,0.0062,0.5111,2.3075,False,False,False,True
52,fault_change_target_qubit,fault,0.7504,0.0,24020.4866,True,True,True,True
53,identity,valid,0.0012,0.8103,0.0576,False,False,False,False
53,barrier,valid,0.011,0.0293,4.7525,False,False,False,False
53,commute,valid,0.0008,0.8808,0.0225,False,False,False,False
53,fault_add_x,fault,0.002,0.7039,0.1444,False,False,False,True
53,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
53,fault_change_target_qubit,fault,0.5028,0.0,19979.8835,True,True,True,True
54,identity,valid,0.0064,0.5059,2.335,False,False,False,False
54,barrier,valid,0.0108,0.1794,4.898,False,False,False,False
54,commute,valid,0.0061,0.4413,2.6937,False,False,False,False
54,fault_add_x,fault,0.0149,0.0292,9.0044,False,False,False,True
54,fault_remove_random,fault,0.498,0.0,13265.5092,True,True,True,True
54,fault_change_target_qubit,fault,0.0063,0.6265,1.747,False,False,False,True
55,identity,valid,0.0103,0.0809,6.734,False,False,False,False
55,barrier,valid,0.01,0.1492,5.33,False,False,False,False
55,commute,valid,0.007,0.4121,2.87,False,False,False,False
55,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
55,fault_remove_random,fault,0.0084,0.2969,3.6907,False,False,False,True
55,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
56,identity,valid,0.005,0.3222,0.9802,False,False,False,False
56,barrier,valid,0.0013,0.8026,0.0625,False,False,False,False
56,commute,valid,0.0025,0.6171,0.25,False,False,False,False
56,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
56,fault_remove_random,fault,0.0023,0.6599,0.1936,False,False,False,True
56,fault_change_target_qubit,fault,0.0056,0.267,1.2321,False,False,False,True
57,identity,valid,0.0039,0.4413,0.5929,False,False,False,False
57,barrier,valid,0.002,0.6965,0.1521,False,False,False,False
57,commute,valid,0.0004,0.9522,0.0036,False,False,False,False
57,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
57,fault_remove_random,fault,0.4989,0.0,13292.4763,True,True,True,True
57,fault_change_target_qubit,fault,0.0032,0.5287,0.3969,False,False,False,True
58,identity,valid,0.0066,0.1936,1.69,False,False,False,False
58,barrier,valid,0.0013,0.8026,0.0625,False,False,False,False
58,commute,valid,0.0075,0.1389,2.1904,False,False,False,False
58,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
58,fault_remove_random,fault,0.003,0.5485,0.36,False,False,False,True
58,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
59,identity,valid,0.0003,0.9601,0.0025,False,False,False,False
59,barrier,valid,0.0029,0.5687,0.3249,False,False,False,False
59,commute,valid,0.0003,0.9681,0.0016,False,False,False,False
59,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
59,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
59,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
60,identity,valid,0.0086,0.7478,4.2738,False,False,False,False
60,barrier,valid,0.0099,0.6112,5.4002,False,False,False,False
60,commute,valid,0.0081,0.6963,4.7017,False,False,False,False
60,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
60,fault_remove_random,fault,0.5064,0.0,13563.9204,True,True,True,True
60,fault_change_target_qubit,fault,0.7501,0.0,24005.123,True,True,True,True
61,identity,valid,0.0056,0.267,1.2321,False,False,False,False
61,barrier,valid,0.0076,0.1336,2.25,False,False,False,False
61,commute,valid,0.0035,0.4965,0.4624,False,False,False,False
61,fault_add_x,fault,0.005,0.3271,0.9604,False,False,False,True
61,fault_remove_random,fault,0.5056,0.0,13536.4696,True,True,True,True
61,fault_change_target_qubit,fault,0.5004,0.0,19911.5488,True,True,True,True
62,identity,valid,0.0047,0.3524,0.8649,False,False,False,False
62,barrier,valid,0.0016,0.7642,0.09,False,False,False,False
62,commute,valid,0.0002,0.984,0.0004,False,False,False,False
62,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
62,fault_remove_random,fault,0.5027,0.0,13426.8351,True,True,True,True
62,fault_change_target_qubit,fault,0.4999,0.0,19943.1297,True,True,True,True
63,identity,valid,0.0128,0.0331,8.7311,False,False,False,False
63,barrier,valid,0.0038,0.8769,0.6841,False,False,False,False
63,commute,valid,0.0076,0.3345,3.3961,False,False,False,False
63,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
63,fault_remove_random,fault,0.0093,0.0893,6.5101,False,False,False,True
63,fault_change_target_qubit,fault,0.0054,0.6718,1.5455,False,False,False,True
64,identity,valid,0.0,1.0,0.0,False,False,False,False
64,barrier,valid,0.0,1.0,0.0,False,False,False,False
64,commute,valid,0.0,1.0,0.0,False,False,False,False
64,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
64,fault_remove_random,fault,0.0,1.0,0.0,False,False,False,True
64,fault_change_target_qubit,fault,0.0,1.0,0.0,False,False,False,True
65,identity,valid,0.0005,0.9362,0.0064,False,False,False,False
65,barrier,valid,0.0,1.0,0.0,False,False,False,False
65,commute,valid,0.0029,0.5687,0.3249,False,False,False,False
65,fault_add_x,fault,0.0006,0.9124,0.0121,False,False,False,True
65,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
65,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
66,identity,valid,0.0013,0.8026,0.0625,False,False,False,False
66,barrier,valid,0.0089,0.0767,3.133,False,False,False,False
66,commute,valid,0.0053,0.2937,1.1026,False,False,False,False
66,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
66,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
66,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
67,identity,valid,0.0,1.0,0.0,False,False,False,False
67,barrier,valid,0.0,1.0,0.0,False,False,False,False
67,commute,valid,0.0,1.0,0.0,False,False,False,False
67,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
67,fault_remove_random,fault,0.0,1.0,0.0,False,False,False,True
67,fault_change_target_qubit,fault,0.0,1.0,0.0,False,False,False,True
68,identity,valid,0.001,0.8571,0.0324,False,False,False,False
68,barrier,valid,0.0036,0.4777,0.5041,False,False,False,False
68,commute,valid,0.0033,0.5222,0.4096,False,False,False,False
68,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
68,fault_remove_random,fault,0.0039,0.4472,0.5776,False,False,False,True
68,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
69,identity,valid,0.004,0.4354,0.6084,False,False,False,False
69,barrier,valid,0.0042,0.4122,0.6724,False,False,False,False
69,commute,valid,0.0056,0.267,1.2321,False,False,False,False
69,fault_add_x,fault,0.0053,0.2891,1.1236,False,False,False,True
69,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
69,fault_change_target_qubit,fault,0.5048,0.0,20051.0107,True,True,True,True
70,identity,valid,0.0003,0.9601,0.0025,False,False,False,False
70,barrier,valid,0.0027,0.5961,0.2809,False,False,False,False
70,commute,valid,0.0021,0.6745,0.1764,False,False,False,False
